part,octave,stepname,step,alter,duration,dx,dy,angle
Piano,2,B,11,-1,6,0.069700983,0.217186776,0.450576205
Piano,2,B,11,-1,6,0.071249459,0.216684391,0.449440026
Piano,2,B,11,-1,3,0.071360375,-0.216647419,0.05064113
Piano,2,B,11,-1,12,0.071910606,-0.216464734,0.051046908
Piano,2,B,11,-1,6,0.082743412,0.212560922,0.440918682
Piano,2,B,11,-1,6,0.083393685,0.212306468,0.440431748
Piano,2,B,11,-1,6,0.084041783,0.212049838,0.439944814
Piano,2,B,11,-1,6,0.085122671,0.211619223,0.439133258
Piano,2,B,11,-1,6,0.101564352,-0.204237865,0.073445869
Piano,2,B,11,-1,3,0.143919079,-0.176963378,0.108667424
Piano,2,B,11,-1,3,0.145356639,-0.175782448,0.109965915
Piano,2,B,11,-1,3,0.145715485,-0.175486672,0.110290537
Piano,2,B,11,-1,3,0.146072156,-0.17518872,0.11061516
Piano,2,B,11,-1,3,0.153527458,0.168694691,0.382486609
Piano,2,B,11,-1,3,0.161843991,-0.160732655,0.125547801
Piano,2,B,11,-1,3,0.162170215,-0.160402082,0.125872423
Piano,2,B,11,-1,3,0.162498614,-0.160071508,0.126197046
Piano,2,B,11,-1,3,0.163799159,-0.158740515,0.127495536
Piano,2,B,11,-1,3,0.188333366,0.128682251,0.345398474
Piano,2,B,11,-1,12,0.192369842,-0.122566642,0.159714332
Piano,2,B,11,-1,3,0.193916143,0.12010474,0.338256776
Piano,2,B,11,-1,6,0.197382815,-0.114317529,0.166450252
Piano,2,B,11,-1,6,0.201173536,-0.10750815,0.171887681
Piano,2,B,11,-1,6,0.20823302,-0.093097756,0.183087161
Piano,2,B,11,-1,3,0.215281629,-0.075379453,0.196396689
Piano,2,B,11,-1,3,0.215320776,-0.075268537,0.196477845
Piano,2,B,11,-1,3,0.215436042,-0.074940138,0.196721311
Piano,2,B,11,-1,3,0.215473014,-0.074829222,0.196802467
Piano,2,B,11,-1,3,0.215549133,0.074609564,0.303035222
Piano,2,B,11,-1,3,0.21589058,0.073620019,0.302304821
Piano,2,B,11,-1,3,0.220412042,-0.05870724,0.208570037
Piano,2,B,11,-1,3,0.22044249,-0.058596324,0.208651193
Piano,2,B,11,-1,3,0.220531658,-0.058259226,0.20889466
Piano,2,B,11,-1,3,0.220562105,-0.058146135,0.208975816
Piano,2,B,11,-1,3,0.220651273,-0.057809037,0.209219283
Piano,2,B,11,-1,3,0.220679546,-0.057695946,0.209300438
Piano,2,B,11,-1,3,0.223637309,0.044892748,0.281528973
Piano,2,B,11,-1,3,0.223659057,0.044777483,0.281447817
Piano,2,B,11,-1,3,0.223726477,0.044436035,0.28120435
Piano,2,B,11,-1,3,0.2237504,0.044320769,0.281123194
Piano,2,B,11,-1,3,0.223817819,0.043979322,0.280879727
Piano,2,B,11,-1,3,0.223839567,0.043864056,0.280798572
Piano,2,B,11,-1,6,0.223906987,-0.043522608,0.219444895
Piano,2,B,11,-1,6,0.223950484,-0.043294252,0.219607207
Piano,2,B,11,-1,6,0.223996155,-0.043065895,0.219769518
Piano,2,B,11,-1,12,0.224318029,-0.041352133,0.220986853
Piano,2,B,11,-1,6,0.224729071,-0.039062041,0.222609966
Piano,2,B,11,-1,6,0.224981351,-0.037570111,0.223664989
Piano,2,B,11,-1,6,0.226118785,-0.02997997,0.229021263
Piano,2,B,11,-1,3,0.226118785,0.02997997,0.270978737
Piano,2,B,11,-1,3,0.226355841,0.028133543,0.269680247
Piano,2,B,11,-1,6,0.227371484,-0.018183716,0.23729914
Piano,2,B,11,-1,6,0.227754253,-0.012496547,0.241275767
Piano,2,B,11,-1,6,0.228069603,-0.00354714,0.247524752
Piano,2,B,11,-1,6,0.228073953,-0.003314434,0.247687064
Piano,2,B,11,-1,12,0.228095701,0.000756839,0.250527512
Piano,2,B,11,0,12,-0.235240003,-0.001378839,0.75093329
Piano,2,B,11,0,3,-0.235176933,-0.005578427,0.753773738
Piano,2,B,11,0,3,-0.235131262,-0.007255218,0.754909917
Piano,2,B,11,0,3,-0.23503122,-0.010012897,0.756776497
Piano,2,B,11,0,3,-0.235020345,0.010252128,0.743061191
Piano,2,B,11,0,3,-0.234237408,0.021741731,0.735270248
Piano,2,B,11,0,3,-0.233824191,0.02579778,0.732510956
Piano,2,B,11,0,3,-0.233447947,-0.029014347,0.769680247
Piano,2,B,11,0,18,-0.233371828,-0.02961025,0.770086025
Piano,2,B,11,0,6,-0.225564204,0.066782367,0.704187632
Piano,2,B,11,0,6,-0.224263658,0.071027627,0.701184873
Piano,2,B,11,0,12,-0.223565539,-0.073195928,0.800357085
Piano,2,B,11,0,36,-0.195642955,-0.130626545,0.843694205
Piano,2,B,11,0,3,-0.19127808,0.136940064,0.651111832
Piano,2,B,11,0,3,-0.190295059,0.138301505,0.649975653
Piano,2,B,11,0,12,-0.189516471,0.139367169,0.649082941
Piano,2,B,11,0,12,-0.180330008,-0.151063381,0.86098036
Piano,2,B,11,0,18,-0.173372741,0.159001494,0.631877942
Piano,2,B,11,0,12,-0.172396245,0.160058459,0.630904074
Piano,2,B,11,0,6,-0.141722505,-0.187759212,0.897094627
Piano,2,B,11,0,6,-0.140187078,-0.188909695,0.898393118
Piano,2,B,11,0,3,-0.138738645,0.189977534,0.600389547
Piano,2,B,11,0,12,-0.137281512,-0.191032324,0.900827788
Piano,2,B,11,0,24,-0.111879549,-0.206934649,0.921116702
Piano,2,B,11,0,6,-0.080170593,-0.221160182,0.944651842
Piano,2,B,11,0,6,-0.068104661,-0.225168386,0.953254342
Piano,2,B,11,0,6,-0.060953835,-0.227210547,0.958285993
Piano,2,B,11,0,6,-0.017496471,-0.234591905,0.988151274
Piano,2,B,11,0,3,0.022635584,0.23415259,0.484661581
Piano,2,B,11,0,3,0.02299443,0.234117793,0.484418114
Piano,2,B,11,0,6,0.135228476,-0.192491632,0.097467944
Piano,2,B,11,0,3,0.164273271,0.168385866,0.376968025
Piano,2,B,11,0,3,0.164358089,0.168303223,0.376886869
Piano,2,B,11,0,3,0.16478653,0.167883482,0.376481091
Piano,2,B,11,0,3,0.165130152,0.167546384,0.376156468
Piano,2,B,11,0,24,0.196504185,-0.129326,0.157360818
Piano,2,B,11,0,3,0.202230501,0.120174334,0.335335173
Piano,2,B,11,0,3,0.205753718,0.114036976,0.330546989
Piano,2,B,11,0,6,0.208317838,-0.109287157,0.173105015
Piano,2,B,11,0,3,0.217910993,0.088621965,0.31147541
Piano,2,B,11,0,3,0.224009204,0.071825788,0.299383217
Piano,2,B,11,0,3,0.225081393,0.068391738,0.296948547
Piano,2,B,11,0,4,0.228276212,-0.056830366,0.211167018
Piano,2,B,11,0,12,0.228448023,-0.056132247,0.211653952
Piano,2,B,11,0,4,0.228619834,-0.055431953,0.212140886
Piano,2,B,11,0,6,0.228759023,-0.0548491,0.212546665
Piano,2,B,11,0,12,0.228787296,-0.054731659,0.21262782
Piano,2,B,11,0,3,0.229907331,0.049820903,0.283963642
Piano,2,B,11,0,3,0.230007373,0.049351141,0.28363902
Piano,2,B,11,0,6,0.233073877,-0.031869893,0.228372018
Piano,2,B,11,0,6,0.233811143,-0.025917396,0.2324298
Piano,2,B,11,0,6,0.234385296,-0.020067115,0.236406428
Piano,2,B,11,0,6,0.234731094,-0.01552173,0.239490342
Piano,2,B,11,0,4,0.235200856,0.004497539,0.253043337
Piano,2,B,11,0,4,0.235224779,0.002938189,0.251988314
Piano,2,B,11,0,4,0.235229129,0.002579343,0.251744847
Piano,2,B,11,0,4,0.235235653,0.001859476,0.251257913
Piano,2,B,11,0,4,0.235242178,0.000900378,0.250608667
Piano,2,B,11,1,6,-0.232525821,0.064098633,0.707190391
Piano,2,C,0,-1,24,-0.154423486,0.059885996,0.691121571
Piano,2,C,0,-1,36,-0.154362591,-0.060042583,0.80904074
Piano,2,C,0,-1,6,-0.034788509,0.161935334,0.533679597
Piano,2,C,0,0,24,-0.169173153,-0.026569843,0.774793053
Piano,2,C,0,0,24,-0.169077461,-0.02717227,0.775361143
Piano,2,C,0,0,24,-0.169020915,-0.027518067,0.775685765
Piano,2,C,0,0,24,-0.168920873,-0.028120494,0.776253855
Piano,2,C,0,0,24,-0.168864328,-0.028464116,0.776578478
